0x5083d02e73cEdE5704c03AC32e72ec635bAB24de,Dragonfly 0x5083,@lookonchain
0x7D68a49754c55f1fB410F535f2b82a16f64481b6,Dragonfly,@lookonchain
0xF30026fe8a2C0D01b70B1949Ceaf2e09EFd8B4A5,Three Arrow 2,Etherscan
0xe5D0Ef77AED07C302634dC370537126A2CD26590,Almeda Research,Etherscan
0x67E3ea119E141406c37e2CA783b749Fe1437673f,Robot Venture,@lookonchain
0x114b8d7ab033e650003fa3fc72c5ba2d0fd18345,Robot Venture related,self
0x09F82Ccd6baE2AeBe46bA7dd2cf08d87355ac430,Paradigm,@lookonchain
0x9B5ea8C719e29A5bd0959FaF79C9E5c8206d0499,Defiance Capital,@lookonchain
0xAAc22b3C17D3b31C6d0D7a9B6dD7a0A797c40339,Matic whale,cherry-pick.xyz
0xd007058e9b58E74C33c6bF6fbCd38BaAB813cBB6,Wangchun@stakefish+f2pool,Nansen
0x3801afef98b7d5f162f8f16602ede37814b55df3,Smart money 0x3801,Cherrypick.xyz
0x65b1b96bd01926d3d60dd3c8bc452f22819443a9,GMX smart money,@lookonchain
0xe8c19db00287e3536075114b2576c70773e039bd,Andrew Kang,@lookonchain
0x06cda431b3ef69b077e3c441f1c8837e0833e97b,institution Whale 0x06cd,BitcoinEmber
0x4780771332669e51f8be04581c46e2309ba61f54,Smart dex trader 0x4780,Nansen
0xc0c0b1e384e088cf91f198f1405ad0a04daba750,Smart dex trader 0xc0c0,Nansen
0x2406a9333378e30b9581b8356bb81b4f9bdff005,Smart dex trader 0x2406,Nansen
0xa2dcb52f5cf34a84a2ebfb7d937f7051ae4c697b,Heavy dex trader 0xa2dc,Nansen
0xd54e4f8a55247487dd7c8c59f14ee5c0c2889477,Elite dex trader 0xd54e,Nansen
0x19c8a5739cd9a30308a7942af275d448fcd3eaac,$ARB holder Heavy dex trader 0x19c8,Nansen
0x30cb2c51fc4f031fa5f326d334e1f5da00e19ab5,Elite dex trader 0x30cb,Nansen
0x41874337da92bf479380cea4ec9d6a8939391d11,Elite dex trader 0x4187,Nansen
0xea306457f52c4d6bbd2149f627c26ba6472b22cd,Elite dex trader 0x0xea30,Nansen
0x36fc397dfa478aa0f3d4b358e412250fbbfe6418,wNXM active buyer 0x36fc,Nansen
0xde32e528427714d6359146d245e27ca0d3d1171e,GMX big staker,@OnchainDataNerd
0x7b32cbbcc825e4d7b142df137fe57b4b3f908a21,$ARB whale,@OnchainDataNerd
0x8ad6429d4de0c2f311b479a1393e46f6df380ccb,$GMX smart trader,@lookonchain
0x367f7def4c05f4ae7ae47f88e270f8c0c85a9273,profitable low hit rate trader on GMX,@lookonchain
0xd79b937791724e47f193f67162b92cdfbf7abdfd,profitable medium hit rate trader on GMX,@lookonchain
0x48202a51c0d5d81b3ebed55016408a0e0a0afaae,profitable medium hit rate trader on GMX,@lookonchain
0x7b7736a2c07c4332ffad45a039d2117ae15e3f66,profitable high hit rate trader on GMX,@lookonchain
0x0349923ae2b35ff4f0099869aeea99d1f3fd12a9,institution whale 0x0349,self
0xfd1fda9a35d3ca9f8779c8b1348d6d9e129e4eb1,smart hodler,@FOMO_onchain
0x4e4398f4b7683f721add73fc515d7db4f1a4df6e,big stable holder,etherscan
