0xcb7a3a9e1a057744a60d8103ee66dd28a71c4d75, Uniswap MCB/USDC(Arb) Pool
0x7bb5e71fab18feba077b28355f20f5643ceece28, Uniswap SPA/USDC(Arb) Pool
0x25ab7dc4ddcacb6fe75694904db27602175245f1, Uniswap LDO/WETH(Arb) Pool
0xaf5a29aa5d6c794a3d83ac4d90ba67de7cf2637f, Uniswap WETH/RNG(Arb) Pool
0xa941459de7667a85f9f4b24ed88c114c861344e4, Uniswap PSI/USDC(Arb) Pool
0x2a3f58cab2b2ca3ac579ca68c8fc0c0d047c0dbe, Uniswap ACID/WETH(Arb) Pool
0x0632742c132413cd47438691d8064ff9214ac216, Uniswap GMD/WETH(Arb) Pool
0x536a4a24bf31ab0d1cf0e5a11cacb319ecc9a33a, Uniswap BV3A/WETH(Arb) Pool
0x0d6c1092f71f406da6c95d1296c057b35cee1ce0, Uniswap WETH/UND(Arb) Pool
0x7244bcf6226077c393b7c98c0cec6c8c3ce9427e, Uniswap GRAIL/WETH(Arb) Pool
0x606bf2272ad1772667753bb68b51ec67b166c3f0, Uniswap WETH/LEVI(Arb) Pool
0xa74eceae9c7670b019e0890881598b4c398d1c01, Uniswap POI$ON/USDC(Arb) Pool
0xb93f8a075509e71325c1c2fc8fa6a75f2d536a13, Uniswap wstETH/WETH(Arb) Pool
0x08e0b47588e1ac22bc0f8b4afaa017aaf273f85e, Uniswap SPA/USDs(Arb) Pool
0x93bcfb0469fd7e8e855abe81e13cf2e0f0192e48, Uniswap WETH/DBL(Arb) Pool
0x7f9a20548d9482041dc33435a7fb25be7c4b98b9, Uniswap GMD/USDC(Arb) Pool
0x458bcc519fa8c223e0c1aeb458bb85710f594329, Uniswap PSI/USDC(Arb) Pool
0x852bec42f6078d4b1af4703d2863e839ea5452c3, Uniswap VELA/USDC(Arb) Pool
0x94122afbdd997e10db6c1d6bf6d390a28cad0f9e, Uniswap WETH/MZR Token(Arb) Pool
0xa6e376c6c2b5739085671a8937eb233ea7f598ce, Uniswap GDX/WETH(Arb) Pool
